Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0402_1005Metric,319.6625,-117.3875,90.0,bottom
C2,22pF,C_0402_1005Metric,315.1625,-118.349375,90.0,bottom
C3,4.7nF,C_0402_1005Metric,204.67875,-46.9275,-90.0,bottom
C4,100nF,C_0402_1005Metric,335.4625,-93.986,-90.0,bottom
C5,1uF,C_0402_1005Metric,215.33875,-57.9875,0.0,bottom
C6,1uF,C_0402_1005Metric,215.33875,-62.4875,0.0,bottom
C7,1uF,C_0402_1005Metric,310.8425,-101.425,180.0,bottom
C8,100nF,C_0402_1005Metric,317.9125,-98.3375,90.0,bottom
C9,100nF,C_0402_1005Metric,309.8425,-117.3875,-90.0,bottom
C10,4.7uF,C_0402_1005Metric,215.33875,-63.4875,0.0,bottom
C11,1uF,C_0402_1005Metric,310.8425,-102.425,180.0,bottom
C12,100nF,C_0402_1005Metric,315.9125,-98.3375,90.0,bottom
C13,100nF,C_0402_1005Metric,316.9125,-98.3375,90.0,bottom
C14,100nF,C_0402_1005Metric,318.9125,-98.3375,90.0,bottom
C15,100nF,C_0402_1005Metric,310.8425,-103.425,180.0,bottom
C16,100nF,C_0402_1005Metric,310.8425,-104.425,180.0,bottom
C17,100nF,C_0402_1005Metric,323.9825,-104.425,0.0,bottom
C18,100nF,C_0402_1005Metric,310.8425,-108.8625,180.0,bottom
C19,100nF,C_0402_1005Metric,323.9825,-108.8625,0.0,bottom
C20,100nF,C_0402_1005Metric,311.8425,-117.3875,-90.0,bottom
D1,D_Small,D_SOD-123,68.1,-66.65,90.0,bottom
D2,D_Small,D_SOD-123,87.15,-66.65,90.0,bottom
D3,D_Small,D_SOD-123,106.2,-66.65,90.0,bottom
D4,D_Small,D_SOD-123,125.25,-66.65,90.0,bottom
D5,D_Small,D_SOD-123,144.3,-66.65,90.0,bottom
D6,D_Small,D_SOD-123,163.35,-66.65,90.0,bottom
D7,D_Small,D_SOD-123,182.4,-66.65,90.0,bottom
D8,D_Small,D_SOD-123,233.35,-61.8875,90.0,bottom
D9,D_Small,D_SOD-123,252.4,-61.8875,90.0,bottom
D10,D_Small,D_SOD-123,271.45,-61.8875,90.0,bottom
D11,D_Small,D_SOD-123,296.7,-61.8875,90.0,bottom
D12,D_Small,D_SOD-123,320.5125,-61.8875,90.0,bottom
D13,D_Small,D_SOD-123,339.5625,-61.8875,90.0,bottom
D14,D_Small,D_SOD-123,358.6125,-61.8875,90.0,bottom
D15,D_Small,D_SOD-123,72.8625,-85.7,90.0,bottom
D16,D_Small,D_SOD-123,96.675,-85.7,90.0,bottom
D17,D_Small,D_SOD-123,115.725,-85.7,90.0,bottom
D18,D_Small,D_SOD-123,134.775,-85.7,90.0,bottom
D19,D_Small,D_SOD-123,153.825,-85.7,90.0,bottom
D20,D_Small,D_SOD-123,172.875,-85.7,90.0,bottom
D21,D_Small,D_SOD-123,191.925,-85.7,90.0,bottom
D22,D_Small,D_SOD-123,210.975,-85.7,90.0,bottom
D23,D_Small,D_SOD-123,223.825,-85.7,90.0,bottom
D24,D_Small,D_SOD-123,242.875,-85.7,90.0,bottom
D25,D_Small,D_SOD-123,261.925,-85.7,90.0,bottom
D26,D_Small,D_SOD-123,291.9375,-85.7,90.0,bottom
D27,D_Small,D_SOD-123,320.5125,-80.9375,90.0,bottom
D28,D_Small,D_SOD-123,339.5625,-80.9375,90.0,bottom
D29,D_Small,D_SOD-123,358.6125,-80.9375,90.0,bottom
D30,D_Small,D_SOD-123,75.24375,-104.75,90.0,bottom
D31,D_Small,D_SOD-123,101.4375,-104.75,90.0,bottom
D32,D_Small,D_SOD-123,120.4875,-104.75,90.0,bottom
